107.230.75.216,138,3
63.16.69.3,192,4
89.74.95.36,192,4
5.252.169.70,192,4
44.255.190.254,84,2
22.111.250.28,192,4
123.253.70.231,84,2
71.44.198.177,84,2
101.171.210.240,84,2
98.54.51.195,192,4
22.216.84.251,192,4
109.39.91.241,192,4
13.172.72.233,192,4
49.248.32.230,192,4
126.149.138.64,192,4
92.171.175.210,192,4
34.227.164.213,84,2
38.220.206.211,42,1
10.49.52.2,84,2
41.99.209.228,84,2
14.40.149.150,192,4
49.244.24.232,192,4
16.210.248.214,192,4
64.234.69.254,192,4
47.196.84.233,192,4
31.172.62.232,84,2
10.151.88.217,84,2
88.27.181.252,84,2
7.12.54.30,192,4
58.115.12.27,192,4
28.240.153.213,84,2
30.51.154.199,84,2
101.235.42.207,192,4
7.192.78.1,192,4
85.48.196.179,192,4
58.131.80.62,84,2
14.0.154.66,192,4
72.3.148.218,192,4
55.30.194.236,192,4
38.208.210.62,192,4
39.202.155.5,42,1
84.251.78.254,192,4
42.216.100.67,84,2
14.59.228.95,84,2
21.235.180.230,192,4
75.146.111.81,192,4
88.68.66.50,192,4
43.186.47.233,84,2
100.14.218.93,192,4
22.98.37.202,192,4
30.240.251.215,192,4
85.100.233.83,192,4
50.144.100.25,42,1
114.28.108.53,84,2
124.37.186.31,192,4
69.105.246.9,192,4
96.6.147.157,192,4
48.60.113.197,192,4
55.247.66.230,192,4
34.134.202.68,192,4
43.200.211.86,192,4
11.80.183.30,79229,1273
83.116.43.88,84,2
4.253.140.139,42,1
20.84.189.3,42,1
5.250.39.139,84,2
24.231.205.211,84,2
18.108.202.21,192,4
30.181.246.215,192,4
36.6.23.159,192,4
120.149.78.59,192,4
54.193.7.250,192,4
52.10.122.61,192,4
115.247.159.8,84,2
18.129.41.60,192,4
70.190.206.213,192,4
125.250.41.6,192,4
58.0.213.157,150.244.0.6,70,1
70.30.173.213,192,4
76.228.101.65,84,2
111.175.229.220,84,2
20.183.178.252,84,2
24.190.59.217,84,2
108.35.19.59,84,2
80.238.0.66,192,4
63.151.230.41,192,4
118.74.36.33,192,4
107.5.175.216,42,1
54.50.28.115,84,2
80.26.77.219,192,4
2.202.83.49,192,4
111.189.79.220,192,4
15.224.0.81,192,4
78.154.221.21,42,1
43.121.75.4,192,4
50.45.59.154,84,2
66.154.61.28,84,2
112.223.187.22,84,2
83.210.222.88,84,2
48.54.246.119,192,4
58.0.213.157,150.244.0.2,70,1
38.60.31.154,192,4
49.249.120.44,192,4
80.112.143.66,84,2
33.85.24.37,192,4
81.4.66.238,192,4
3.4.50.86,192,4
77.120.73.84,84,2
91.90.184.73,192,4
105.184.251.9,42,1
125.19.190.4,192,4
65.204.242.48,192,4
127.192.160.23,192,4
13.52.79.139,84,2
5.52.80.123,192,4
40.44.229.111,192,4
110.117.49.36,192,4
97.43.110.235,192,4
94.177.141.25,192,4
6.64.218.215,84,2
105.10.251.77,192,4
106.181.179.24,192,4
65.100.5.83,192,4
9.107.87.106,192,4
6.181.170.233,192,4
63.112.73.82,192,4
49.54.65.130,42,1
12.48.166.190,192,4
105.45.101.79,192,4
41.40.62.238,192,4
11.183.150.48,192,4
40.60.243.191,192,4
117.13.71.47,84,2
68.57.146.154,84,2
9.8.141.117,192,4
38.202.232.60,192,4
11.79.14.30,192,4
56.6.187.110,192,4
51.155.242.83,192,4
113.120.41.28,84,2
86.152.203.24,84,2
54.16.190.21,84,2
48.83.17.91,84,2
75.209.113.81,192,4
9.108.97.106,192,4
108.10.241.118,3848,12
81.42.11.236,84,2
109.229.71.55,192,4
93.187.102.45,192,4
125.196.51.70,192,4
25.254.94.1,192,4
83.209.83.88,192,4
112.247.161.169,192,4
106.89.178.69,84,2
94.218.243.66,192,4
23.141.163.88,192,4
88.58.35.152,192,4
28.191.1.60,192,4
109.1.11.10,192,4
108.215.54.194,192,4
120.178.146.198,84,2
22.29.198.218,84,2
80.8.80.12,84,2
11.201.131.40,84,2
6.213.134.86,192,4
17.5.132.239,192,4
56.93.144.12,210,5
45.94.53.30,84,2
8.91.196.246,192,4
5.11.95.61,192,4
36.56.79.155,192,4
101.86.111.201,192,4
90.187.12.64,192,4
104.79.168.73,192,4
47.165.204.86,192,4
108.5.169.53,192,4
48.212.62.60,192,4
56.94.65.96,42,1
30.7.87.59,84,2
53.7.13.174,192,4
24.65.199.17,192,4
103.106.192.89,192,4
120.132.70.155,192,4
120.101.70.190,192,4
54.137.54.66,192,4
82.63.54.153,84,2
9.104.112.249,42,1
66.100.7.69,84,2
76.147.34.63,84,2
26.58.93.118,84,2
11.190.55.1,84,2
98.121.184.21,192,4
54.175.32.62,192,4
38.239.81.25,192,4
22.255.120.24,42,1
51.63.43.138,192,4
52.109.106.67,192,4
116.32.211.182,192,4
52.7.11.153,192,4
92.7.101.112,192,4
50.70.230.158,192,4
79.134.245.81,192,4
42.250.180.63,192,4
50.62.113.152,192,4
38.215.33.27,192,4
106.1.133.126,192,4
28.63.34.115,192,4
69.175.44.87,84,2
100.107.154.193,192,4
99.9.187.30,84,2
102.243.204.185,84,2
74.37.77.215,84,2
