
================================================================
| IO Statistics                                                |
|                                                              |
| Duration: 134.573128 secs                                    |
| Interval:   1 secs                                           |
|                                                              |
| Col 1: SUM(frame.len)frame.len&&eth.src eq 00:11:88:CC:33:32 |
|     2: SUM(frame.len)frame.len&&eth.dst eq 00:11:88:CC:33:32 |
|--------------------------------------------------------------|
|            |1      |2        |                               |
| Interval   |  SUM  |   SUM   |                               |
|------------------------------|                               |
|   0 <>   1 | 24227 |    2590 |                               |
|   1 <>   2 | 60404 |  151167 |                               |
|   2 <>   3 | 57107 |    1841 |                               |
|   3 <>   4 | 79721 |  441312 |                               |
|   4 <>   5 | 62486 |   70695 |                               |
|   5 <>   6 | 49634 |     145 |                               |
|   6 <>   7 | 48147 |     301 |                               |
|   7 <>   8 | 43722 |     501 |                               |
|   8 <>   9 | 30971 |    2874 |                               |
|   9 <>  10 | 42813 |    2300 |                               |
|  10 <>  11 | 52461 |  108195 |                               |
|  11 <>  12 | 30406 |     957 |                               |
|  12 <>  13 | 39192 |  166911 |                               |
|  13 <>  14 | 54860 |  323813 |                               |
|  14 <>  15 | 58605 | 1438109 |                               |
|  15 <>  16 | 47609 | 1042326 |                               |
|  16 <>  17 | 31561 |     437 |                               |
|  17 <>  18 | 35877 |    6029 |                               |
|  18 <>  19 | 32919 |   32254 |                               |
|  19 <>  20 | 82349 | 2543400 |                               |
|  20 <>  21 | 52469 | 1516689 |                               |
|  21 <>  22 | 38331 |    4254 |                               |
|  22 <>  23 | 42105 |  399214 |                               |
|  23 <>  24 | 89566 | 3214515 |                               |
|  24 <>  25 | 67931 | 1260833 |                               |
|  25 <>  26 | 96006 | 4913665 |                               |
|  26 <>  27 | 60416 |  105008 |                               |
|  27 <>  28 | 76691 | 1997051 |                               |
|  28 <>  29 | 67503 | 1124969 |                               |
|  29 <>  30 | 49136 |   24518 |                               |
|  30 <>  31 | 63611 |  532902 |                               |
|  31 <>  32 | 63695 | 2232845 |                               |
|  32 <>  33 | 50088 |  379866 |                               |
|  33 <>  34 | 65541 | 2393422 |                               |
|  34 <>  35 | 75173 | 2843480 |                               |
|  35 <>  36 | 53669 | 1116698 |                               |
|  36 <>  37 | 34834 |  309513 |                               |
|  37 <>  38 | 30532 |  391272 |                               |
|  38 <>  39 | 38935 |  594200 |                               |
|  39 <>  40 | 39235 |  363161 |                               |
|  40 <>  41 | 33883 |  119742 |                               |
|  41 <>  42 | 35928 |   31195 |                               |
|  42 <>  43 | 32752 |    3987 |                               |
|  43 <>  44 | 33387 |    1361 |                               |
|  44 <>  45 | 40971 |  216789 |                               |
|  45 <>  46 | 24883 |    1376 |                               |
|  46 <>  47 | 25934 |    1199 |                               |
|  47 <>  48 | 24539 |   94146 |                               |
|  48 <>  49 | 40561 | 1759973 |                               |
|  49 <>  50 | 39854 | 1431889 |                               |
|  50 <>  51 | 29370 |    1346 |                               |
|  51 <>  52 | 28881 |    3700 |                               |
|  52 <>  53 | 28943 |     679 |                               |
|  53 <>  54 | 55159 |    2131 |                               |
|  54 <>  55 | 52846 |    4846 |                               |
|  55 <>  56 | 43336 |    2985 |                               |
|  56 <>  57 | 42345 |    3533 |                               |
|  57 <>  58 | 42522 |     385 |                               |
|  58 <>  59 | 55386 |    1685 |                               |
|  59 <>  60 | 44176 |  318887 |                               |
|  60 <>  61 | 25990 |    1806 |                               |
|  61 <>  62 | 20332 |    1640 |                               |
|  62 <>  63 | 19766 |    1650 |                               |
|  63 <>  64 | 19055 |     336 |                               |
|  64 <>  65 | 36472 | 1342560 |                               |
|  65 <>  66 | 18677 |     168 |                               |
|  66 <>  67 | 25106 |  435268 |                               |
|  67 <>  68 | 20268 |    2638 |                               |
|  68 <>  69 | 18719 |     716 |                               |
|  69 <>  70 | 18814 |     503 |                               |
|  70 <>  71 | 19999 |    2806 |                               |
|  71 <>  72 | 20920 |     306 |                               |
|  72 <>  73 | 26379 |    1129 |                               |
|  73 <>  74 | 22261 |    1980 |                               |
|  74 <>  75 | 25013 |     290 |                               |
|  75 <>  76 | 21016 |    1143 |                               |
|  76 <>  77 | 22142 |    1851 |                               |
|  77 <>  78 | 21336 |    3440 |                               |
|  78 <>  79 | 21133 |    3426 |                               |
|  79 <>  80 | 36270 |  126163 |                               |
|  80 <>  81 | 26374 |    1972 |                               |
|  81 <>  82 | 29130 |    2240 |                               |
|  82 <>  83 | 30066 |     313 |                               |
|  83 <>  84 | 28304 |     289 |                               |
|  84 <>  85 | 24783 |     360 |                               |
|  85 <>  86 | 18700 |     295 |                               |
|  86 <>  87 | 18647 |    1569 |                               |
|  87 <>  88 | 33892 | 1448217 |                               |
|  88 <>  89 | 20037 |    1699 |                               |
|  89 <>  90 | 19785 |    1785 |                               |
|  90 <>  91 | 22876 |   85383 |                               |
|  91 <>  92 | 30312 |  431206 |                               |
|  92 <>  93 | 39539 |  822529 |                               |
|  93 <>  94 | 29827 |  429259 |                               |
|  94 <>  95 | 21233 |    2669 |                               |
|  95 <>  96 | 18733 |     459 |                               |
|  96 <>  97 | 19643 |    1375 |                               |
|  97 <>  98 | 19848 |     953 |                               |
|  98 <>  99 | 19588 |    1293 |                               |
|  99 <> 100 |  1690 |    1970 |                               |
| 100 <> 101 |  4578 |   96069 |                               |
| 101 <> 102 |  9229 |  310520 |                               |
| 102 <> 103 |  2672 |    2468 |                               |
| 103 <> 104 |   923 |    1349 |                               |
| 104 <> 105 |  4929 |   54413 |                               |
| 105 <> 106 |  1497 |     895 |                               |
| 106 <> 107 |  1953 |    1132 |                               |
| 107 <> 108 | 18779 | 1670612 |                               |
| 108 <> 109 |  3081 |   14899 |                               |
| 109 <> 110 | 17140 |  548650 |                               |
| 110 <> 111 | 14188 |   30315 |                               |
| 111 <> 112 | 24874 |    1913 |                               |
| 112 <> 113 | 21431 |    3540 |                               |
| 113 <> 114 | 10534 |     486 |                               |
| 114 <> 115 | 14046 |    1816 |                               |
| 115 <> 116 | 12711 |    1547 |                               |
| 116 <> 117 |  9512 |    6376 |                               |
| 117 <> 118 | 21494 |    1496 |                               |
| 118 <> 119 | 26514 |    4200 |                               |
| 119 <> 120 | 19649 |    1002 |                               |
| 120 <> 121 | 18137 |    1031 |                               |
| 121 <> 122 | 23040 | 1762601 |                               |
| 122 <> 123 | 12933 |  111063 |                               |
| 123 <> 124 | 14766 |   61477 |                               |
| 124 <> 125 | 21871 |  435086 |                               |
| 125 <> 126 | 23636 |  693648 |                               |
| 126 <> 127 | 26767 | 1404144 |                               |
| 127 <> 128 | 33374 |  677188 |                               |
| 128 <> 129 | 59344 | 3960606 |                               |
| 129 <> 130 |  3502 |  159026 |                               |
| 130 <> 131 |  3594 |       0 |                               |
| 131 <> 132 |  2580 |       0 |                               |
| 132 <> 133 |  2364 |       0 |                               |
| 133 <> 134 |  2676 |       0 |                               |
| 134 <> Dur |  1506 |       0 |                               |
================================================================
